,SMILES,vina_score,qed
0,C=C1C2=Nc3ncccc3C(=O)N1C(=O)C(C)CCCN(c1ccccc1)CCCNC2=O,-8.659342,0.6809392499319259
1,O=C1NN(Cc2cccc(C(F)(F)F)c2)C(O)C2OC13CN1CCCC1(c1ccccc1Cl)OCCC23,-8.6403885,0.6226634571340439
2,Cc1ccccc1C1CC(=O)NC2=C1N(N=C1CCC(CO)O1)C(c1ccccc1)=NS2,-8.492767,0.697409977410675
3,CC1=C(C)C(=NC(=O)N2CCN(C(=O)c3ccccc3)CC2)SC(c2ccccc2)N1,-8.489836,0.7657817865456897
4,CN1CCN(c2ccccc2)CCNC(=O)c2ccccc2-c2ccccc2NC1=O,-8.484513,0.6310100063355137
5,CN1C(=O)N=NC(=O)C1=Nc1ccc(C(=N)NC2CCCCCCC2)cc1,-8.418864,0.6252313184189093
6,CC(C)C(=O)N1CC(c2cc(C(=O)N3CCCCC3C(=O)NC3CCCCC3)ccn2)CC1=O,-8.413293,0.7160998334546862
7,COc1ccccc1N1CCN(C(=O)CN2N=C(c3ccccc3)CC2c2ccccc2)CC1,-8.411595,0.5603503558740303
8,Cc1ccc(C)c(N2C(=O)c3ccccc3C(=O)sCCNC(=O)C=CCC2C)c1,-8.409877999999999,0.7446020483621191
9,O=C(NC1=NC(=O)C2=C(C1)NC(=O)c1ccccc12)Nc1ccccc1C(F)(F)F,-8.400203,0.5681298649815428
10,Cc1ccccc1C=C1C=NN(c2ccc(C(=O)NCc3ccccc3F)cc2)C1=O,-8.389042,0.6271685066603317
11,CC1=C(NC(=O)C2C(=O)C(c3ccccc3F)=CN2c2ccccc2C)C(=O)C(C)NC1=O,-8.379613,0.7022482266312
12,Cc1ccc(C(=O)N2CCN(C(=O)C3CCN(C(=O)c4ccccc4CF)CC3)CC2)cc1,-8.3784485,0.7167766574354733
13,CC(C)CNC(=O)C1C(c2ccccc2)C1c1cc(N2CCCCC2)ccc1C(=O)N1CCCC1,-8.3780775,0.6026971378231762
14,COc1ccccc1N1CCN(C2=C(c3ccccc3F)C(=O)NC2=O)CC1,-8.377218,0.8215053321789588
15,CN1C=CC2=C(C1)C(=O)N(c1ccc(N3CCCC3)cc1Cl)C(=O)c1ccccc12,-8.375850999999999,0.6289954640765377
16,Cc1ccccc1C(=O)N1Cc2c(C(=O)N3CCCCN(Cc4ccccc4)C(CC2)CC3CO)C(C)(C)C1,-8.372228,0.6174634917176233
17,COC1=C(c2ccccc2C(=O)N2CCCN(C)CC2)C(N)C(c2cccc(C(F)(F)F)c2)COC1=O,-8.3716345,0.6253316664118368
18,O=C(O)C1CCCN(C2CC(c3ccccc3N3SCOC3=O)CC2=O)C1,-8.364263000000001,0.7911383850926362
19,CN(C)N=C1C(=O)N=CC(=CC(Oc2ccccc2)c2ccccc2)NN=C1c1ccccc1,-8.358478,0.5696253047167572
20,CC(=O)N1CCN(c2[nH]ccc2C(Cc2ccccn2)N2CCN(c3ccccc3)CC2)CC1,-8.357577000000001,0.6149258043266246
21,Cc1ccccc1-c1nc(S(=O)(=O)N2CCCC(c3ccccc3)C2)c(C)cc1C,-8.356761,0.5797381168765139
22,CC1Nc2cc3c(cc2O1)NC(=O)C(c1ccc2ccccc2c1)C3,-8.355735000000001,0.7004693398612711
